n=20 λ=0.05 выборок 6468 принято 0.401 ⟨E⟩≈2155; κ = 0.4376; прямоугольников 0.276
  m   модель  решения  разница
  1    0.753    0.577   +0.176
  2    0.874    0.748   +0.126
  3    0.975    0.917   +0.058
  4    1.020    1.035   -0.015
  5    1.038    1.107   -0.069
  6    1.038    1.107   -0.069
  7    1.033    1.121   -0.088
  8    1.022    1.084   -0.062
  9    1.024    1.076   -0.052
 10    1.030    1.045   -0.016
 11    1.048    1.078   -0.029
 12    1.073    1.040   +0.033
взвешенный RMS по уровням m=1..12: 0.083
