n=7: |G|=2, орбит клеток 196 (из 343), богатых прямых 4429
  [    0s] 58 точек, коллинеарных 0 -> записано
  [    1s] 61 точек, коллинеарных 0 -> записано
  [    3s] 62 точек, коллинеарных 0 -> записано
  [    4s] 63 точек, коллинеарных 0 -> записано
  [    8s] 64 точек, коллинеарных 0 -> записано
  [   13s] 65 точек, коллинеарных 0 -> записано
  [   36s] 66 точек, коллинеарных 0 -> записано
  [   42s] 67 точек, коллинеарных 0 -> записано
  [  128s] 68 точек, коллинеарных 0 -> записано
