p: m5 m6 m7 m8 | m8/p m7/p m6/p m5/p | savings/(p-1) | 4-class groups by m (m=#centres at the smaller value): 4:(4,8,4) 3:(3,7,5,1) 2:(2,6,6,2) 1:(1,5,7,3) 0
 173:  20  30  20  14 | 0.081 0.116 0.173 0.116 | 0.570 | 4: 14 3: 10 2: 15 1: 10 0:  0 | N4=49 N3=0 N2=72 N4/p=0.283
 179:  12  40  12  12 | 0.067 0.067 0.223 0.067 | 0.494 | 4: 12 3:  6 2: 20 1:  6 0:  0 | N4=44 N3=0 N2=89 N4/p=0.246
 181:  16  42  16  12 | 0.066 0.088 0.232 0.088 | 0.544 | 4: 12 3:  8 2: 21 1:  8 0:  0 | N4=49 N3=0 N2=80 N4/p=0.271
 191:  10  36   8  20 | 0.105 0.042 0.188 0.052 | 0.489 | 4: 20 3:  4 2: 18 1:  4 0:  0 | N4=46 N3=2 N2=95 N4/p=0.241
 193:  16  42  12  16 | 0.083 0.062 0.218 0.083 | 0.521 | 4: 16 3:  6 2: 21 1:  6 0:  0 | N4=49 N3=4 N2=88 N4/p=0.254
 197:  12  38  12  18 | 0.091 0.061 0.193 0.061 | 0.500 | 4: 18 3:  6 2: 19 1:  6 0:  0 | N4=49 N3=0 N2=96 N4/p=0.249
 199:  12  44  10  16 | 0.080 0.050 0.221 0.060 | 0.490 | 4: 16 3:  5 2: 22 1:  5 0:  0 | N4=48 N3=2 N2=99 N4/p=0.241
 211:  20  36  20  14 | 0.066 0.095 0.171 0.095 | 0.495 | 4: 14 3: 10 2: 18 1: 10 0:  0 | N4=52 N3=0 N2=105 N4/p=0.246
 223:  12  40  10  24 | 0.108 0.045 0.179 0.054 | 0.491 | 4: 24 3:  5 2: 20 1:  5 0:  0 | N4=54 N3=2 N2=111 N4/p=0.242
 227:  18  48  18  14 | 0.062 0.079 0.211 0.079 | 0.496 | 4: 14 3:  9 2: 24 1:  9 0:  0 | N4=56 N3=0 N2=113 N4/p=0.247
