0,1;1,23
0,2;2,23
0,3;3,23
0,4;4,23
0,5;5,23
0,6;6,23
0,7;7,23
0,8;8,23
0,9;9,23
0,10;10,23
0,11;11,23
1,2;2,22
1,3;3,22
1,4;4,22
1,5;5,22
1,6;6,22
1,7;7,22
1,8;8,22
1,9;9,22
1,10;10,22
1,11;11,22
2,3;3,21
2,4;4,21
2,5;5,21
2,6;6,21
2,7;7,21
2,8;8,21
2,9;9,21
2,10;10,21
2,11;11,21
3,4;4,20
3,5;5,20
3,6;6,20
3,7;7,20
3,8;8,20
3,9;9,20
3,10;10,20
3,11;11,20
4,5;5,19
4,6;6,19
4,7;7,19
4,8;8,19
4,9;9,19
4,10;10,19
4,11;11,19
5,6;6,18
5,7;7,18
5,8;8,18
5,9;9,18
5,10;10,18
5,11;11,18
6,7;7,17
6,8;8,17
6,9;9,17
6,10;10,17
6,11;11,17
7,8;8,16
7,9;9,16
7,10;10,16
7,11;11,16
8,9;9,15
8,10;10,15
8,11;11,15
9,10;10,14
9,11;11,14
10,11;11,13
