0,1;1,26
0,2;2,26
0,3;3,26
0,4;4,26
0,5;5,26
0,6;6,26
0,7;7,26
0,8;8,26
0,9;9,26
0,10;10,26
0,11;11,26
0,12;12,26
1,2;2,25
1,3;3,25
1,4;4,25
1,5;5,25
1,6;6,25
1,7;7,25
1,8;8,25
1,9;9,25
1,10;10,25
1,11;11,25
1,12;12,25
2,3;3,24
2,4;4,24
2,5;5,24
2,6;6,24
2,7;7,24
2,8;8,24
2,9;9,24
2,10;10,24
2,11;11,24
2,12;12,24
3,4;4,23
3,5;5,23
3,6;6,23
3,7;7,23
3,8;8,23
3,9;9,23
3,10;10,23
3,11;11,23
3,12;12,23
4,5;5,22
4,6;6,22
4,7;7,22
4,8;8,22
4,9;9,22
4,10;10,22
4,11;11,22
4,12;12,22
5,6;6,21
5,7;7,21
5,8;8,21
5,9;9,21
5,10;10,21
5,11;11,21
5,12;12,21
6,7;7,20
6,8;8,20
6,9;9,20
6,10;10,20
6,11;11,20
6,12;12,20
7,8;8,19
7,9;9,19
7,10;10,19
7,11;11,19
7,12;12,19
8,9;9,18
8,10;10,18
8,11;11,18
8,12;12,18
9,10;10,17
9,11;11,17
9,12;12,17
10,11;11,16
10,12;12,16
11,12;12,15
