0,1;1,2;2,0
0,1;1,2;38,0
0,1;39,2;2,0
0,1;39,2;38,0
0,1;1,3;3,0
0,1;1,3;37,0
0,1;39,3;3,0
0,1;39,3;37,0
0,1;1,4;4,0
0,1;1,4;36,0
0,1;39,4;4,0
0,1;39,4;36,0
0,1;1,5;5,0
0,1;1,5;35,0
0,1;39,5;5,0
0,1;39,5;35,0
0,1;1,6;6,0
0,1;1,6;34,0
0,1;39,6;6,0
0,1;39,6;34,0
0,1;1,7;7,0
0,1;1,7;33,0
0,1;39,7;7,0
0,1;39,7;33,0
0,1;1,8;8,0
0,1;1,8;32,0
0,1;39,8;8,0
0,1;39,8;32,0
0,1;1,9;9,0
0,1;1,9;31,0
0,1;39,9;9,0
0,1;39,9;31,0
0,1;1,10;10,0
0,1;1,10;30,0
0,1;39,10;10,0
0,1;39,10;30,0
0,1;1,11;11,0
0,1;1,11;29,0
0,1;39,11;11,0
0,1;39,11;29,0
0,1;1,12;12,0
0,1;1,12;28,0
0,1;39,12;12,0
0,1;39,12;28,0
0,1;1,13;13,0
0,1;1,13;27,0
0,1;39,13;13,0
0,1;39,13;27,0
0,1;1,14;14,0
0,1;1,14;26,0
0,1;39,14;14,0
0,1;39,14;26,0
0,1;1,15;15,0
0,1;1,15;25,0
0,1;39,15;15,0
0,1;39,15;25,0
0,1;1,16;16,0
0,1;1,16;24,0
0,1;39,16;16,0
0,1;39,16;24,0
0,1;1,17;17,0
0,1;1,17;23,0
0,1;39,17;17,0
0,1;39,17;23,0
0,1;1,18;18,0
0,1;1,18;22,0
0,1;39,18;18,0
0,1;39,18;22,0
0,1;1,19;19,0
0,1;1,19;21,0
0,1;39,19;19,0
0,1;39,19;21,0
0,1;1,20;20,0
0,2;2,3;3,0
0,2;2,3;37,0
0,2;38,3;3,0
0,2;38,3;37,0
0,2;2,4;4,0
0,2;2,4;36,0
0,2;38,4;4,0
0,2;38,4;36,0
0,2;2,5;5,0
0,2;2,5;35,0
0,2;38,5;5,0
0,2;38,5;35,0
0,2;2,6;6,0
0,2;2,6;34,0
0,2;38,6;6,0
0,2;38,6;34,0
0,2;2,7;7,0
0,2;2,7;33,0
0,2;38,7;7,0
0,2;38,7;33,0
0,2;2,8;8,0
0,2;2,8;32,0
0,2;38,8;8,0
0,2;38,8;32,0
0,2;2,9;9,0
0,2;2,9;31,0
0,2;38,9;9,0
0,2;38,9;31,0
0,2;2,10;10,0
0,2;2,10;30,0
0,2;38,10;10,0
0,2;38,10;30,0
0,2;2,11;11,0
0,2;2,11;29,0
0,2;38,11;11,0
0,2;38,11;29,0
0,2;2,12;12,0
0,2;2,12;28,0
0,2;38,12;12,0
0,2;38,12;28,0
0,2;2,13;13,0
0,2;2,13;27,0
0,2;38,13;13,0
0,2;38,13;27,0
0,2;2,14;14,0
0,2;2,14;26,0
0,2;38,14;14,0
0,2;38,14;26,0
0,2;2,15;15,0
0,2;2,15;25,0
0,2;38,15;15,0
0,2;38,15;25,0
0,2;2,16;16,0
0,2;2,16;24,0
0,2;38,16;16,0
0,2;38,16;24,0
0,2;2,17;17,0
0,2;2,17;23,0
0,2;38,17;17,0
0,2;38,17;23,0
0,2;2,18;18,0
0,2;2,18;22,0
0,2;38,18;18,0
0,2;38,18;22,0
0,2;2,19;19,0
0,2;2,19;21,0
0,2;38,19;19,0
0,2;38,19;21,0
0,2;2,20;20,0
0,3;3,4;4,0
0,3;3,4;36,0
0,3;37,4;4,0
