3,17;17,18;18,3
3,17;17,18;22,3
3,17;23,18;18,3
3,17;23,18;22,3
3,17;17,19;19,3
3,17;17,19;21,3
3,17;23,19;19,3
3,17;23,19;21,3
3,17;17,20;20,3
3,18;18,19;19,3
3,18;18,19;21,3
3,18;22,19;19,3
3,18;22,19;21,3
3,18;18,20;20,3
3,19;19,20;20,3
4,5;5,6;6,4
4,5;5,6;34,4
4,5;35,6;6,4
4,5;35,6;34,4
4,5;5,7;7,4
4,5;5,7;33,4
4,5;35,7;7,4
4,5;35,7;33,4
4,5;5,8;8,4
4,5;5,8;32,4
4,5;35,8;8,4
4,5;35,8;32,4
4,5;5,9;9,4
4,5;5,9;31,4
4,5;35,9;9,4
4,5;35,9;31,4
4,5;5,10;10,4
4,5;5,10;30,4
4,5;35,10;10,4
4,5;35,10;30,4
4,5;5,11;11,4
4,5;5,11;29,4
4,5;35,11;11,4
4,5;35,11;29,4
4,5;5,12;12,4
4,5;5,12;28,4
4,5;35,12;12,4
4,5;35,12;28,4
4,5;5,13;13,4
4,5;5,13;27,4
4,5;35,13;13,4
4,5;35,13;27,4
4,5;5,14;14,4
4,5;5,14;26,4
4,5;35,14;14,4
4,5;35,14;26,4
4,5;5,15;15,4
4,5;5,15;25,4
4,5;35,15;15,4
4,5;35,15;25,4
4,5;5,16;16,4
4,5;5,16;24,4
4,5;35,16;16,4
4,5;35,16;24,4
4,5;5,17;17,4
4,5;5,17;23,4
4,5;35,17;17,4
4,5;35,17;23,4
4,5;5,18;18,4
4,5;5,18;22,4
4,5;35,18;18,4
4,5;35,18;22,4
4,5;5,19;19,4
4,5;5,19;21,4
4,5;35,19;19,4
4,5;35,19;21,4
4,5;5,20;20,4
4,6;6,7;7,4
4,6;6,7;33,4
4,6;34,7;7,4
4,6;34,7;33,4
4,6;6,8;8,4
4,6;6,8;32,4
4,6;34,8;8,4
4,6;34,8;32,4
4,6;6,9;9,4
4,6;6,9;31,4
4,6;34,9;9,4
4,6;34,9;31,4
4,6;6,10;10,4
4,6;6,10;30,4
4,6;34,10;10,4
4,6;34,10;30,4
4,6;6,11;11,4
4,6;6,11;29,4
4,6;34,11;11,4
4,6;34,11;29,4
4,6;6,12;12,4
4,6;6,12;28,4
4,6;34,12;12,4
4,6;34,12;28,4
4,6;6,13;13,4
4,6;6,13;27,4
4,6;34,13;13,4
4,6;34,13;27,4
4,6;6,14;14,4
4,6;6,14;26,4
4,6;34,14;14,4
4,6;34,14;26,4
4,6;6,15;15,4
4,6;6,15;25,4
4,6;34,15;15,4
4,6;34,15;25,4
4,6;6,16;16,4
4,6;6,16;24,4
4,6;34,16;16,4
4,6;34,16;24,4
4,6;6,17;17,4
4,6;6,17;23,4
4,6;34,17;17,4
4,6;34,17;23,4
4,6;6,18;18,4
4,6;6,18;22,4
4,6;34,18;18,4
4,6;34,18;22,4
4,6;6,19;19,4
4,6;6,19;21,4
4,6;34,19;19,4
4,6;34,19;21,4
4,6;6,20;20,4
4,7;7,8;8,4
4,7;7,8;32,4
4,7;33,8;8,4
4,7;33,8;32,4
4,7;7,9;9,4
4,7;7,9;31,4
4,7;33,9;9,4
4,7;33,9;31,4
4,7;7,10;10,4
4,7;7,10;30,4
4,7;33,10;10,4
4,7;33,10;30,4
4,7;7,11;11,4
4,7;7,11;29,4
4,7;33,11;11,4
4,7;33,11;29,4
4,7;7,12;12,4
4,7;7,12;28,4
4,7;33,12;12,4
4,7;33,12;28,4
4,7;7,13;13,4
4,7;7,13;27,4
4,7;33,13;13,4
4,7;33,13;27,4
4,7;7,14;14,4
4,7;7,14;26,4
4,7;33,14;14,4
4,7;33,14;26,4
4,7;7,15;15,4
4,7;7,15;25,4
4,7;33,15;15,4
4,7;33,15;25,4
4,7;7,16;16,4
4,7;7,16;24,4
4,7;33,16;16,4
4,7;33,16;24,4
4,7;7,17;17,4
4,7;7,17;23,4
4,7;33,17;17,4
4,7;33,17;23,4
4,7;7,18;18,4
4,7;7,18;22,4
4,7;33,18;18,4
4,7;33,18;22,4
4,7;7,19;19,4
4,7;7,19;21,4
4,7;33,19;19,4
4,7;33,19;21,4
4,7;7,20;20,4
4,8;8,9;9,4
4,8;8,9;31,4
4,8;32,9;9,4
4,8;32,9;31,4
4,8;8,10;10,4
4,8;8,10;30,4
4,8;32,10;10,4
4,8;32,10;30,4
4,8;8,11;11,4
4,8;8,11;29,4
4,8;32,11;11,4
4,8;32,11;29,4
4,8;8,12;12,4
4,8;8,12;28,4
4,8;32,12;12,4
4,8;32,12;28,4
4,8;8,13;13,4
4,8;8,13;27,4
4,8;32,13;13,4
4,8;32,13;27,4
4,8;8,14;14,4
4,8;8,14;26,4
4,8;32,14;14,4
4,8;32,14;26,4
4,8;8,15;15,4
4,8;8,15;25,4
4,8;32,15;15,4
4,8;32,15;25,4
4,8;8,16;16,4
4,8;8,16;24,4
4,8;32,16;16,4
4,8;32,16;24,4
4,8;8,17;17,4
4,8;8,17;23,4
4,8;32,17;17,4
4,8;32,17;23,4
4,8;8,18;18,4
4,8;8,18;22,4
4,8;32,18;18,4
4,8;32,18;22,4
4,8;8,19;19,4
4,8;8,19;21,4
4,8;32,19;19,4
4,8;32,19;21,4
4,8;8,20;20,4
4,9;9,10;10,4
4,9;9,10;30,4
4,9;31,10;10,4
4,9;31,10;30,4
4,9;9,11;11,4
4,9;9,11;29,4
4,9;31,11;11,4
4,9;31,11;29,4
4,9;9,12;12,4
4,9;9,12;28,4
4,9;31,12;12,4
4,9;31,12;28,4
4,9;9,13;13,4
4,9;9,13;27,4
4,9;31,13;13,4
4,9;31,13;27,4
4,9;9,14;14,4
4,9;9,14;26,4
4,9;31,14;14,4
4,9;31,14;26,4
4,9;9,15;15,4
4,9;9,15;25,4
4,9;31,15;15,4
4,9;31,15;25,4
4,9;9,16;16,4
4,9;9,16;24,4
4,9;31,16;16,4
4,9;31,16;24,4
4,9;9,17;17,4
4,9;9,17;23,4
4,9;31,17;17,4
4,9;31,17;23,4
4,9;9,18;18,4
4,9;9,18;22,4
4,9;31,18;18,4
4,9;31,18;22,4
4,9;9,19;19,4
4,9;9,19;21,4
4,9;31,19;19,4
