0,1;1,21
0,2;2,21
0,3;3,21
0,4;4,21
0,5;5,21
0,6;6,21
0,7;7,21
0,8;8,21
0,9;9,21
0,10;10,21
1,2;2,20
1,3;3,20
1,4;4,20
1,5;5,20
1,6;6,20
1,7;7,20
1,8;8,20
1,9;9,20
1,10;10,20
2,3;3,19
2,4;4,19
2,5;5,19
2,6;6,19
2,7;7,19
2,8;8,19
2,9;9,19
2,10;10,19
3,4;4,18
3,5;5,18
3,6;6,18
3,7;7,18
3,8;8,18
3,9;9,18
3,10;10,18
4,5;5,17
4,6;6,17
4,7;7,17
4,8;8,17
4,9;9,17
4,10;10,17
5,6;6,16
5,7;7,16
5,8;8,16
5,9;9,16
5,10;10,16
6,7;7,15
6,8;8,15
6,9;9,15
6,10;10,15
7,8;8,14
7,9;9,14
7,10;10,14
8,9;9,13
8,10;10,13
9,10;10,12
