3,15;15,16;16,3
3,15;15,16;16,37
3,15;15,17;17,3
3,15;15,17;17,37
3,15;15,18;18,3
3,15;15,18;18,37
3,15;15,19;19,3
3,15;15,19;19,37
3,15;15,21;21,3
3,15;15,21;21,37
3,15;15,22;22,3
3,15;15,22;22,37
3,15;15,23;23,3
3,15;15,23;23,37
3,15;15,24;24,3
3,15;15,24;24,37
3,16;16,17;17,3
3,16;16,17;17,37
3,16;16,18;18,3
3,16;16,18;18,37
3,16;16,19;19,3
3,16;16,19;19,37
3,16;16,21;21,3
3,16;16,21;21,37
3,16;16,22;22,3
3,16;16,22;22,37
3,16;16,23;23,3
3,16;16,23;23,37
3,17;17,18;18,3
3,17;17,18;18,37
3,17;17,19;19,3
3,17;17,19;19,37
3,17;17,21;21,3
3,17;17,21;21,37
3,17;17,22;22,3
3,17;17,22;22,37
3,18;18,19;19,3
3,18;18,19;19,37
3,18;18,21;21,3
3,18;18,21;21,37
4,5;5,6;6,4
4,5;5,6;6,36
4,5;5,7;7,4
4,5;5,7;7,36
4,5;5,8;8,4
4,5;5,8;8,36
4,5;5,9;9,4
4,5;5,9;9,36
4,5;5,10;10,4
4,5;5,10;10,36
4,5;5,11;11,4
4,5;5,11;11,36
4,5;5,12;12,4
4,5;5,12;12,36
4,5;5,13;13,4
4,5;5,13;13,36
4,5;5,14;14,4
4,5;5,14;14,36
4,5;5,15;15,4
4,5;5,15;15,36
4,5;5,16;16,4
4,5;5,16;16,36
4,5;5,17;17,4
4,5;5,17;17,36
4,5;5,18;18,4
4,5;5,18;18,36
4,5;5,19;19,4
4,5;5,19;19,36
4,5;5,21;21,4
4,5;5,21;21,36
4,5;5,22;22,4
4,5;5,22;22,36
4,5;5,23;23,4
4,5;5,23;23,36
4,5;5,24;24,4
4,5;5,24;24,36
4,5;5,25;25,4
4,5;5,25;25,36
4,5;5,26;26,4
4,5;5,26;26,36
4,5;5,27;27,4
4,5;5,27;27,36
4,5;5,28;28,4
4,5;5,28;28,36
4,5;5,29;29,4
4,5;5,29;29,36
4,5;5,30;30,4
4,5;5,30;30,36
4,5;5,31;31,4
4,5;5,31;31,36
4,5;5,32;32,4
4,5;5,32;32,36
4,5;5,33;33,4
4,5;5,33;33,36
4,5;5,34;34,4
4,5;5,34;34,36
4,6;6,7;7,4
4,6;6,7;7,36
4,6;6,8;8,4
4,6;6,8;8,36
4,6;6,9;9,4
4,6;6,9;9,36
4,6;6,10;10,4
4,6;6,10;10,36
4,6;6,11;11,4
4,6;6,11;11,36
4,6;6,12;12,4
4,6;6,12;12,36
4,6;6,13;13,4
4,6;6,13;13,36
4,6;6,14;14,4
