# A399138 n=10 stratum c25_ord8 (|H|=8 rot=4 inv=n) points=128 status=OPTIMAL bound=128 verified=True
0 2 4
0 2 5
0 3 2
0 3 7
0 4 3
0 4 6
0 5 1
0 5 8
0 6 3
0 6 6
0 7 2
0 7 7
0 8 4
0 8 5
1 0 1
1 0 8
1 1 3
1 1 6
1 2 2
1 2 7
1 3 4
1 3 5
1 5 0
1 5 9
1 7 4
1 7 5
1 8 2
1 8 7
1 9 3
1 9 6
2 2 1
2 2 8
2 3 0
2 3 9
2 7 0
2 7 9
2 8 1
2 8 8
3 0 4
3 0 5
3 1 1
3 1 8
3 2 3
3 2 6
3 4 0
3 4 9
3 6 0
3 6 9
3 8 3
3 8 6
3 9 1
3 9 8
4 0 3
4 0 6
4 2 0
4 2 9
4 3 1
4 3 8
4 7 1
4 7 8
4 8 0
4 8 9
4 9 4
4 9 5
5 0 3
5 0 6
5 2 0
5 2 9
5 3 1
5 3 8
5 7 1
5 7 8
5 8 0
5 8 9
5 9 4
5 9 5
6 0 4
6 0 5
6 1 1
6 1 8
6 2 3
6 2 6
6 4 0
6 4 9
6 6 0
6 6 9
6 8 3
6 8 6
6 9 1
6 9 8
7 2 1
7 2 8
7 3 0
7 3 9
7 7 0
7 7 9
7 8 1
7 8 8
8 0 1
8 0 8
8 1 3
8 1 6
8 2 2
8 2 7
8 3 4
8 3 5
8 5 0
8 5 9
8 7 4
8 7 5
8 8 2
8 8 7
8 9 3
8 9 6
9 2 4
9 2 5
9 3 2
9 3 7
9 4 3
9 4 6
9 5 1
9 5 8
9 6 3
9 6 6
9 7 2
9 7 7
9 8 4
9 8 5
