n=20, 60000 выборок нуля, E[T] = 63.677; k — расстояние между двумя точками столбца
  k P_null(k)   ΔE(k)   ±SE  ρ_pred  ρ_obs
  1    0.1011  -0.017 0.011   1.013  1.069
  2    0.0946  -0.137 0.012   1.141  1.350
  3    0.0886  -0.059 0.012   1.055  1.363
  4    0.0836  -0.092 0.013   1.091  1.298
  5    0.0792   0.006 0.013   0.989  0.959
  6    0.0744  -0.055 0.013   1.052  1.220
  7    0.0687   0.051 0.014   0.946  0.588
  8    0.0626   0.044 0.015   0.953  0.831
  9    0.0578   0.122 0.015   0.881  0.664
 10    0.0526   0.017 0.016   0.979  0.876
 11    0.0474   0.196 0.017   0.818  0.440
 12    0.0422  -0.076 0.018   1.074  1.178
 13    0.0367   0.199 0.019   0.816  0.428
 14    0.0316   0.051 0.020   0.945  0.710
 15    0.0264   0.043 0.022   0.953  1.263
 16    0.0210  -0.082 0.025   1.080  0.906
 17    0.0156   0.027 0.029   0.969  0.694
 18    0.0106   0.349 0.036   0.702  1.304
 19    0.0053  -0.290 0.049   1.330  1.024
Спирмен(log ρ_pred, log ρ_obs) = 0.577;  ρ_pred(7)/ρ_pred(6) = 0.899 (наблюдаемое 0.482)
