n=20, 60000 выборок нуля, E[T] = 63.548; k — расстояние между двумя точками столбца
  k P_null(k)   ΔE(k)   ±SE  ρ_pred  ρ_obs
  1    0.1003  -0.074 0.011   1.070  1.069
  2    0.0950  -0.115 0.012   1.115  1.350
  3    0.0896  -0.104 0.012   1.103  1.363
  4    0.0841  -0.022 0.013   1.016  1.298
  5    0.0791   0.077 0.013   0.921  0.959
  6    0.0736  -0.142 0.013   1.146  1.220
  7    0.0684   0.148 0.014   0.857  0.588
  8    0.0633  -0.017 0.014   1.011  0.831
  9    0.0579   0.115 0.015   0.887  0.664
 10    0.0525   0.034 0.016   0.961  0.876
 11    0.0466   0.170 0.017   0.838  0.440
 12    0.0422  -0.092 0.018   1.090  1.178
 13    0.0368   0.160 0.019   0.847  0.428
 14    0.0315   0.113 0.021   0.888  0.710
 15    0.0262  -0.055 0.022   1.051  1.263
 16    0.0212  -0.035 0.025   1.030  0.906
 17    0.0158   0.335 0.029   0.711  0.694
 18    0.0106  -0.091 0.035   1.089  1.304
 19    0.0053   0.132 0.050   0.871  1.024
Спирмен(log ρ_pred, log ρ_obs) = 0.860;  ρ_pred(7)/ρ_pred(6) = 0.748 (наблюдаемое 0.482)
