n5_c20_ord8_2.txt 2026-09-03T04:22:45Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=5 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 123 заменяемых 0/2 оживающих клеток 0
n5_c21_ord8_2.txt 2026-09-03T04:22:45Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=5 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 123 заменяемых 0/2 оживающих клеток 0
n5_c22_ord8_5.txt 2026-09-03T04:22:45Z n=5: точек 5, компланарных четвёрок 0  — свидетель ЧИСТ | n=5 m=5 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 32 заменяемых 5/5 оживающих клеток 226
n5_c23_ord8_2.txt 2026-09-03T04:22:45Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=5 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 123 заменяемых 0/2 оживающих клеток 0
n5_c24_ord8_5.txt 2026-09-03T04:22:45Z n=5: точек 5, компланарных четвёрок 0  — свидетель ЧИСТ | n=5 m=5 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 16 заменяемых 5/5 оживающих клеток 258
n5_c25_ord8_2.txt 2026-09-03T04:22:45Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=5 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 123 заменяемых 0/2 оживающих клеток 0
n5_c26_ord12_2.txt 2026-09-03T04:22:45Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=5 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 123 заменяемых 0/2 оживающих клеток 0
n5_c27_ord12_5.txt 2026-09-03T04:22:45Z n=5: точек 5, компланарных четвёрок 0  — свидетель ЧИСТ | n=5 m=5 min κ³=1 НЕЖЁСТКО заменяемых 5/5 оживающих клеток 306
n5_c28_ord16_2.txt 2026-09-03T04:22:45Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=5 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 123 заменяемых 0/2 оживающих клеток 0
n5_c29_ord24_1.txt 2026-09-03T04:22:46Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (1 точек) — проверять нечего, это НЕ подтверждение | n=5 m=1 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 124 заменяемых 0/1 оживающих клеток 0
