n=20, 60000 выборок нуля, E[T] = 63.618; k — расстояние между двумя точками столбца
  k P_null(k)   ΔE(k)   ±SE  ρ_pred  ρ_obs
  1    0.0997  -0.075 0.012   1.070  1.069
  2    0.0943  -0.136 0.012   1.138  1.350
  3    0.0896  -0.097 0.012   1.094  1.363
  4    0.0842  -0.048 0.013   1.042  1.298
  5    0.0791   0.103 0.013   0.896  0.959
  6    0.0740  -0.179 0.013   1.188  1.220
  7    0.0687   0.034 0.014   0.959  0.588
  8    0.0631  -0.054 0.015   1.048  0.831
  9    0.0582   0.085 0.015   0.912  0.664
 10    0.0528   0.119 0.016   0.882  0.876
 11    0.0476   0.247 0.017   0.775  0.440
 12    0.0420   0.048 0.018   0.947  1.178
 13    0.0365   0.229 0.019   0.790  0.428
 14    0.0315   0.032 0.021   0.962  0.710
 15    0.0263   0.131 0.023   0.871  1.263
 16    0.0209   0.021 0.026   0.972  0.906
 17    0.0158   0.128 0.029   0.874  0.694
 18    0.0106  -0.147 0.036   1.151  1.304
 19    0.0053   0.091 0.051   0.907  1.024
Спирмен(log ρ_pred, log ρ_obs) = 0.644;  ρ_pred(7)/ρ_pred(6) = 0.807 (наблюдаемое 0.482)
