n8_c05_ord2_90.txt 2026-09-02T16:59:39Z n=8: точек 90, проверено троек 117480, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 4/90
n8_c06_ord3_93.txt 2026-09-02T16:59:42Z n=8: точек 93, проверено троек 129766, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/93
n8_c07_ord4_88.txt 2026-09-02T16:59:44Z n=8: точек 88, проверено троек 109736, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 4/88
n8_c00_ord1_91.txt 2026-09-02T17:20:31Z n=8: точек 91, проверено троек 121485, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 6/91 | обмен ≤3: нет
n8_c08_ord4_94.txt 2026-09-02T17:40:23Z n=8: точек 94, проверено троек 134044, коллинеарных 0  — свидетель ЧИСТ | min κ=3, заменяемых 0/94 | обмен ≤3: нет
n8_c09_ord4_92.txt 2026-09-02T17:40:28Z n=8: точек 92, проверено троек 125580, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/92 | обмен ≤3: нет
n8_c10_ord4_92.txt 2026-09-02T17:40:33Z n=8: точек 92, проверено троек 125580, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 8/92 | обмен ≤3: нет
n8_c11_ord4_94.txt 2026-09-02T17:40:38Z n=8: точек 94, проверено троек 134044, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/94 | обмен ≤3: нет
n8_c12_ord4_90.txt 2026-09-02T17:40:42Z n=8: точек 90, проверено троек 117480, коллинеарных 0  — свидетель ЧИСТ | min κ=3, заменяемых 0/90 | обмен ≤3: нет
n8_c13_ord4_84.txt 2026-09-02T17:40:46Z n=8: точек 84, проверено троек 95284, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/84 | обмен ≤3: нет
n8_c14_ord4_92.txt 2026-09-02T17:40:50Z n=8: точек 92, проверено троек 125580, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/92 | обмен ≤3: нет
n8_c17_ord6_92.txt 2026-09-02T17:40:54Z n=8: точек 92, проверено троек 125580, коллинеарных 0  — свидетель ЧИСТ | min κ=3, заменяемых 0/92 | обмен ≤3: нет
n8_c19_ord8_80.txt 2026-09-02T17:40:57Z n=8: точек 80, проверено троек 82160, коллинеарных 0  — свидетель ЧИСТ | min κ=3, заменяемых 0/80 | обмен ≤3: нет
n8_c20_ord8_88.txt 2026-09-02T17:41:01Z n=8: точек 88, проверено троек 109736, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/88 | обмен ≤3: нет
n8_c21_ord8_88.txt 2026-09-02T17:41:05Z n=8: точек 88, проверено троек 109736, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/88 | обмен ≤3: нет
n8_c22_ord8_92.txt 2026-09-02T17:41:09Z n=8: точек 92, проверено троек 125580, коллинеарных 0  — свидетель ЧИСТ | min κ=3, заменяемых 0/92 | обмен ≤3: нет
n8_c23_ord8_88.txt 2026-09-02T17:41:13Z n=8: точек 88, проверено троек 109736, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/88 | обмен ≤3: нет
n8_c24_ord8_80.txt 2026-09-02T17:41:16Z n=8: точек 80, проверено троек 82160, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 8/80 | обмен ≤3: нет
n8_c25_ord8_84.txt 2026-09-02T17:41:20Z n=8: точек 84, проверено троек 95284, коллинеарных 0  — свидетель ЧИСТ | min κ=3, заменяемых 0/84 | обмен ≤3: нет
n8_c26_ord12_92.txt 2026-09-02T17:41:25Z n=8: точек 92, проверено троек 125580, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 12/92 | обмен ≤3: нет
n8_c27_ord12_88.txt 2026-09-02T17:41:29Z n=8: точек 88, проверено троек 109736, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/88 | обмен ≤3: нет
n8_c28_ord16_80.txt 2026-09-02T17:41:33Z n=8: точек 80, проверено троек 82160, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/80 | обмен ≤3: нет
n8_c29_ord24_80.txt 2026-09-02T17:41:36Z n=8: точек 80, проверено троек 82160, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/80 | обмен ≤3: нет
n8_c30_ord24_80.txt 2026-09-02T17:41:38Z n=8: точек 80, проверено троек 82160, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 8/80 | обмен ≤3: УЛУЧШЕНИЕ НАЙДЕНО
n8_c31_ord24_88.txt 2026-09-02T17:41:42Z n=8: точек 88, проверено троек 109736, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/88 | обмен ≤3: нет
n8_c32_ord48_80.txt 2026-09-02T17:41:46Z n=8: точек 80, проверено троек 82160, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/80 | обмен ≤3: нет
n8_c16_ord6_92.txt 2026-09-02T17:48:48Z n=8: точек 92, проверено троек 125580, коллинеарных 0  — свидетель ЧИСТ | min κ=3, заменяемых 0/92 | обмен ≤3: нет
n8_c15_ord4_88.txt 2026-09-02T18:02:58Z n=8: точек 88, проверено троек 109736, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/88 | обмен ≤3: нет
n8_c18_ord6_93.txt 2026-09-02T18:17:11Z n=8: точек 93, проверено троек 129766, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/93 | обмен ≤3: нет
n9_c01_ord2_110.txt 2026-09-02T19:30:39Z n=9: точек 110, проверено троек 215820, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 12/110 | обмен ≤3: нет
n9_c02_ord2_110.txt 2026-09-02T19:30:48Z n=9: точек 110, проверено троек 215820, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 6/110 | обмен ≤3: нет
n9_c03_ord2_110.txt 2026-09-02T19:30:58Z n=9: точек 110, проверено троек 215820, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/110 | обмен ≤3: нет
n9_c04_ord2_114.txt 2026-09-02T19:31:06Z n=9: точек 114, проверено троек 240464, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 2/114 | обмен ≤3: нет
n9_c05_ord2_110.txt 2026-09-02T19:31:16Z n=9: точек 110, проверено троек 215820, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 4/110 | обмен ≤3: нет
n9_c06_ord3_110.txt 2026-09-02T19:31:26Z n=9: точек 110, проверено троек 215820, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 8/110 | обмен ≤3: нет
n9_c07_ord4_112.txt 2026-09-02T19:31:34Z n=9: точек 112, проверено троек 227920, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 12/112 | обмен ≤3: нет
