n=20, 60000 выборок нуля, E[T] = 63.668; k — расстояние между двумя точками столбца
  k P_null(k)   ΔE(k)   ±SE  ρ_pred  ρ_obs
  1    0.1003  -0.056 0.011   1.050  1.069
  2    0.0947  -0.112 0.012   1.111  1.350
  3    0.0891  -0.083 0.012   1.079  1.363
  4    0.0839  -0.139 0.013   1.141  1.298
  5    0.0784   0.071 0.013   0.926  0.959
  6    0.0739  -0.084 0.014   1.081  1.220
  7    0.0687   0.141 0.014   0.863  0.588
  8    0.0637  -0.020 0.015   1.013  0.831
  9    0.0577   0.205 0.015   0.809  0.664
 10    0.0528   0.004 0.016   0.989  0.876
 11    0.0475   0.230 0.017   0.789  0.440
 12    0.0418  -0.040 0.018   1.034  1.178
 13    0.0367   0.256 0.019   0.769  0.428
 14    0.0315   0.004 0.020   0.989  0.710
 15    0.0263  -0.044 0.023   1.038  1.263
 16    0.0213  -0.068 0.025   1.063  0.906
 17    0.0159   0.065 0.029   0.930  0.694
 18    0.0104  -0.125 0.036   1.126  1.304
 19    0.0053  -0.078 0.050   1.074  1.024
Спирмен(log ρ_pred, log ρ_obs) = 0.900;  ρ_pred(7)/ρ_pred(6) = 0.798 (наблюдаемое 0.482)
