n=20, 60000 выборок нуля, E[T] = 63.574; k — расстояние между двумя точками столбца
  k P_null(k)   ΔE(k)   ±SE  ρ_pred  ρ_obs
  1    0.0998  -0.002 0.012   0.994  1.069
  2    0.0950  -0.162 0.012   1.166  1.350
  3    0.0894  -0.046 0.012   1.039  1.363
  4    0.0838  -0.088 0.013   1.084  1.298
  5    0.0787   0.179 0.013   0.829  0.959
  6    0.0740  -0.168 0.013   1.174  1.220
  7    0.0685   0.043 0.014   0.951  0.588
  8    0.0634  -0.015 0.014   1.007  0.831
  9    0.0583   0.071 0.015   0.925  0.664
 10    0.0522  -0.068 0.016   1.062  0.876
 11    0.0476   0.254 0.017   0.770  0.440
 12    0.0418  -0.034 0.018   1.027  1.178
 13    0.0370   0.178 0.019   0.830  0.428
 14    0.0318  -0.019 0.020   1.012  0.710
 15    0.0260   0.116 0.023   0.884  1.263
 16    0.0211   0.040 0.025   0.954  0.906
 17    0.0158   0.321 0.029   0.720  0.694
 18    0.0104  -0.268 0.036   1.297  1.304
 19    0.0055   0.029 0.049   0.964  1.024
Спирмен(log ρ_pred, log ρ_obs) = 0.693;  ρ_pred(7)/ρ_pred(6) = 0.810 (наблюдаемое 0.482)
